pais;tipo_dato;gastos_duracion;periodo;total
Total;Dato base;Gasto total;2025-02-01;7259.81
Total;Dato base;Gasto total;2025-01-01;7132.04
Total;Dato base;Gasto total;2024-12-01;7590.34
Total;Dato base;Gasto total;2024-11-01;7707.67
Total;Dato base;Gasto total;2024-10-01;11898.7
Total;Dato base;Gasto total;2024-09-01;12613.05
Total;Dato base;Gasto total;2024-08-01;15364.42
Total;Dato base;Gasto total;2024-07-01;15513.29
Total;Dato base;Gasto total;2024-06-01;12356.78
Total;Dato base;Gasto total;2024-05-01;11686.91
Total;Dato base;Gasto total;2024-04-01;9488.1
Total;Dato base;Gasto total;2024-03-01;8631.35
Total;Dato base;Gasto total;2024-02-01;6746.32
Total;Dato base;Gasto total;2024-01-01;6546.3
Total;Dato base;Gasto total;2023-12-01;7090.5
Total;Dato base;Gasto total;2023-11-01;6644.47
Total;Dato base;Gasto total;2023-10-01;10302.07
Total;Dato base;Gasto total;2023-09-01;11193.59
Total;Dato base;Gasto total;2023-08-01;13599.39
Total;Dato base;Gasto total;2023-07-01;13880.83
Total;Dato base;Gasto total;2023-06-01;10607.99
Total;Dato base;Gasto total;2023-05-01;9766.97
Total;Dato base;Gasto total;2023-04-01;8454.47
Total;Dato base;Gasto total;2023-03-01;6668.07
Total;Dato base;Gasto total;2023-02-01;5364.13
Total;Dato base;Gasto total;2023-01-01;5216.94
Total;Dato base;Gasto total;2022-12-01;5238.8
Total;Dato base;Gasto total;2022-11-01;5381.97
Total;Dato base;Gasto total;2022-10-01;8311.2
Total;Dato base;Gasto total;2022-09-01;9147.69
Total;Dato base;Gasto total;2022-08-01;11281.82
Total;Dato base;Gasto total;2022-07-01;11902.1
Total;Dato base;Gasto total;2022-06-01;9025.67
Total;Dato base;Gasto total;2022-05-01;8046.91
Total;Dato base;Gasto total;2022-04-01;6910.11
Total;Dato base;Gasto total;2022-03-01;5077.45
Total;Dato base;Gasto total;2022-02-01;3774.69
Total;Dato base;Gasto total;2022-01-01;3039.78
